Order_ID,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Product_Price,Discount_Percent,Final_Price,Quantity,Revenue,Delivery_Time,Customer_Rating,Customer_Location,Browsing_Frequency,Product_Search_Method
ORD000001,2023/06/06 9:37:33 AM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;others,29.7,10,26.73,1,26.73,4,,nan,Few times a month,Keyword
ORD000002,2023/06/09 10:23:45 AM GMT+5:30,33,Others,Few times a month,Clothing and Fashion,23.4,20,18.72,2,37.44,3,4.0,Karnataka,Few times a month,others
ORD000003,2023/06/07 9:54:56 PM GMT+5:30,34,Female,Once a week,Clothing and Fashion,44.71,25,33.53,1,33.53,2,3.0,Karnataka,Few times a week,Keyword
ORD000004,2023/06/06 9:59:35 AM GMT+5:30,25,Male,Less than once a month,others,76.9,10,69.21,3,207.63,5,3.0,West Bengal,Few times a month,Keyword
ORD000005,2023/06/05 2:25:28 PM GMT+5:30,36,Female,Once a month,Home and Kitchen;others,54.94,30,38.46,1,38.46,3,5.0,nan,Multiple times a day,Keyword
ORD000006,2023/06/04 8:49:49 PM GMT+5:30,64,Male,Once a week,Groceries and Gourmet Food,63.12,30,44.18,1,44.18,2,5.0,Uttar Pradesh,Few times a month,Keyword
ORD000007,2023/06/06 4:25:49 PM GMT+5:30,27,Male,Once a month,others,21.96,10,19.76,1,19.76,6,5.0,Maharashtra,Few times a month,Keyword
ORD000008,2023/06/09 3:00:03 PM GMT+5:30,56,Prefer not to say,Once a week,Clothing and Fashion,33.02,50,16.51,1,16.51,6,3.0,nan,Few times a month,categories
ORD000009,2023/06/07 12:30:22 PM GMT+5:30,46,Female,Once a week,others,22.17,20,17.74,1,17.74,4,5.0,Delhi,Few times a week,Keyword
ORD000010,2023/06/08 5:09:31 PM GMT+5:30,43,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,35.69,10,32.12,1,32.12,7,3.0,Karnataka,Rarely,Keyword
ORD000011,2023/06/09 2:40:21 PM GMT+5:30,45,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,80.71,20,64.57,1,64.57,6,4.0,Uttar Pradesh,Few times a month,categories
